"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"5528","Stimuli/nonrhyme_22_oneline.mp3","1","audio-button-response","79","904345","0.0-5.0-0.74",""
"9408","Stimuli/onevowelslant_rhyme2.mp3","1","audio-button-response","80","914423","0.0-5.0-0.75",""
"13200","Stimuli/threeVowelSlantRhyme_16.mp3","0","audio-button-response","81","928264","0.0-5.0-0.76",""
"6848","Stimuli/nonrhyme_24_oneline.mp3","0","audio-button-response","82","935620","0.0-5.0-0.77",""
"7349","Stimuli/threeVowelSlantRhyme_27.mp3","0","audio-button-response","83","943601","0.0-5.0-0.78",""
"8269","Stimuli/EndTwoVowel_rhyme4.mp3","0","audio-button-response","84","952504","0.0-5.0-0.79",""
"22051","Stimuli/onevowelinternalrhyme5.mp3","1","audio-button-response","85","975124","0.0-5.0-0.80",""
"4341","Stimuli/nonrhyme_19_oneline.mp3","1","audio-button-response","86","980045","0.0-5.0-0.81",""
"8371","Stimuli/endthreevowel_rhyme18.mp3","0","audio-button-response","87","989048","0.0-5.0-0.82",""
"8859","Stimuli/onevowelend_rhyme2.mp3","0","audio-button-response","88","998551","0.0-5.0-0.83",""
"4549","Stimuli/onevowelinternalrhyme6.mp3","1","audio-button-response","89","1003684","0.0-5.0-0.84",""
"10771","Stimuli/threeVowelSlantRhyme_39.mp3","1","audio-button-response","90","1015117","0.0-5.0-0.85",""
"8072","Stimuli/threeVowelSlantRhyme_10.mp3","1","audio-button-response","91","1023808","0.0-5.0-0.86",""
"12328","Stimuli/endthreevowel_rhyme2.mp3","1","audio-button-response","92","1036740","0.0-5.0-0.87",""
"7459","Stimuli/endthreevowel_rhyme35.mp3","0","audio-button-response","93","1044823","0.0-5.0-0.88",""
"8400","Stimuli/threeVowelSlantRhyme_30.mp3","1","audio-button-response","94","1053892","0.0-5.0-0.89",""
"4920","Stimuli/onevowelinternalrhyme1.mp3","1","audio-button-response","95","1059403","0.0-5.0-0.90",""
"7901","Stimuli/onevowelend_rhyme5.mp3","0","audio-button-response","96","1067931","0.0-5.0-0.91",""
"9589","Stimuli/threeVowelSlantRhyme_41.mp3","1","audio-button-response","97","1078154","0.0-5.0-0.92",""
"10219","Stimuli/threeVowelSlantRhyme_49.mp3","1","audio-button-response","98","1089029","0.0-5.0-0.93",""
"7989","Stimuli/endthreevowel_rhyme1.mp3","1","audio-button-response","99","1097644","0.0-5.0-0.94",""
"4771","Stimuli/nonrhyme_40_oneline.mp3","0","audio-button-response","100","1102991","0.0-5.0-0.95",""
"7931","Stimuli/EndTwoVowel_rhyme10.mp3","0","audio-button-response","101","1111526","0.0-5.0-0.96",""
"8480","Stimuli/endthreevowel_rhyme39.mp3","0","audio-button-response","102","1120620","0.0-5.0-0.97",""
"9421","Stimuli/nonrhyme_5_twolines.mp3","1","audio-button-response","103","1130647","0.0-5.0-0.98",""
"95574","","{""Q0"":""I could not detect any discernable patterns but tried to use cadence as the determining criteria. If the utterance was rhythmic sounding, then I selected poetry. This was harder to do on short samples. ""}","survey-text","104","1226742","0.0-6.0",""
